DT,WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
2025-10-01,40,Hubli,Pod,303,3,0.99%
2025-10-01,40,Davanagere,CX,132,1,0.76%
2025-10-01,40,Rajahmundry,Pod,331,1,0.30%
2025-10-01,40,Noida 1,WH,5171,5,0.10%
2025-10-01,40,Kozhikode,WH,1516,1,0.07%
2025-10-01,40,Nagpur,CX,770,8,1.04%
2025-10-01,40,Dibrugarh,CX,149,1,0.67%
2025-10-01,40,Kozhikode,Sourcing,1516,1,0.07%
2025-10-01,40,Trichy,WH,944,2,0.21%
2025-10-01,40,Kurnool,WH,521,2,0.38%
2025-10-01,40,Kozhikode,Pod,1516,3,0.20%
2025-10-01,40,Tirupati,WH,1129,2,0.18%
2025-10-01,40,Jaipur,Sourcing,1594,1,0.06%
2025-10-01,40,Tirupati,Pod,1129,3,0.27%
2025-10-01,40,Bhopal,Sourcing,580,1,0.17%
2025-10-01,40,Kochi,Pod,9712,59,0.61%
2025-10-01,40,Mangaluru,Pod,1918,8,0.42%
2025-10-01,40,Khammam,CX,630,7,1.11%
2025-10-01,40,Nashik,Sourcing,716,2,0.28%
2025-10-01,40,Raipur,CX,147,4,2.72%
2025-10-01,40,Tirupati,CX,1129,1,0.09%
2025-10-01,40,Ludhiana,Pod,305,1,0.33%
2025-10-01,40,Vijayawada,CX,1877,3,0.16%
2025-10-01,40,Guntur,WH,1028,2,0.19%
2025-10-01,40,Gwalior,Pod,142,1,0.70%
2025-10-01,40,Pondicherry,Pod,1191,3,0.25%
2025-10-01,40,Lucknow,Pod,1494,14,0.94%
2025-10-01,40,Surat,Pod,1071,4,0.37%
2025-10-01,40,Noida 1,Pod,5171,32,0.62%
2025-10-01,40,Lucknow,WH,1494,2,0.13%
2025-10-01,40,Dehradun,WH,713,1,0.14%
2025-10-01,40,Raipur,WH,147,1,0.68%
2025-10-01,40,Kanpur,Pod,194,1,0.52%
2025-10-01,40,Guntur,CX,1028,3,0.29%
2025-10-01,40,Nellore,Sourcing,674,2,0.30%
2025-10-01,40,Kakinada,Pod,386,3,0.78%
2025-10-01,40,Bhubaneswar,WH,2916,8,0.27%
2025-10-01,40,Dibrugarh,Pod,149,3,2.01%
2025-10-01,40,Chennai,CX,27050,56,0.21%
2025-10-01,40,Patiala,Sourcing,170,2,1.18%
2025-10-01,40,Jaipur,CX,1594,3,0.19%
2025-10-01,40,Mangaluru,WH,1918,1,0.05%
2025-10-01,40,Bangalore,WH,68452,126,0.18%
2025-10-01,40,Allahabad,WH,150,1,0.67%
2025-10-01,40,Noida,Pod,2078,19,0.91%
2025-10-01,40,Tirunelveli,CX,436,1,0.23%
2025-10-01,40,Nashik,CX,716,1,0.14%
2025-10-01,40,Jamshedpur,Pod,260,2,0.77%
2025-10-01,40,Kochi,WH,9712,8,0.08%
2025-10-01,40,Ahmedabad,CX,3872,5,0.13%
2025-10-01,40,Bhopal,WH,580,1,0.17%
2025-10-01,40,Vellore,Pod,515,2,0.39%
2025-10-01,40,Ujjain,Pod,115,1,0.87%
2025-10-01,40,Thoothukudi,Pod,401,2,0.50%
2025-10-01,40,Bhubaneswar,CX,2916,6,0.21%
2025-10-01,40,Karur,CX,246,1,0.41%
2025-10-01,40,Faridabad,WH,737,2,0.27%
2025-10-01,40,Tumakuru,Pod,179,1,0.56%
2025-10-01,40,Mysore,WH,2282,4,0.18%
2025-10-01,40,Faridabad,Sourcing,737,2,0.27%
2025-10-01,40,Warangal,CX,983,7,0.71%
2025-10-01,40,Kochi,CX,9712,13,0.13%
2025-10-01,40,Dehradun,Pod,713,3,0.42%
2025-10-01,40,Lucknow,Sourcing,1494,1,0.07%
2025-10-01,40,Shivamogga,Pod,273,1,0.37%
2025-10-01,40,Faridabad,CX,737,1,0.14%
2025-10-01,40,Thanjavur,CX,456,1,0.22%
2025-10-01,40,Thiruvananthapuram,Sourcing,5174,9,0.17%
2025-10-01,40,Tirupati,Sourcing,1129,1,0.09%
2025-10-01,40,Amritsar,Sourcing,147,2,1.36%
2025-10-01,40,Kanchipuram,Pod,282,1,0.35%
2025-10-01,40,Karur,Pod,246,1,0.41%
2025-10-01,40,Vadodara,CX,1093,8,0.73%
2025-10-01,40,Patna,WH,1027,1,0.10%
2025-10-01,40,Gurgaon,CX,8206,18,0.22%
2025-10-01,40,Faridabad,Pod,737,7,0.95%
2025-10-01,40,Davanagere,Pod,132,1,0.76%
2025-10-01,40,Mysore,Sourcing,2282,7,0.31%
2025-10-01,40,Jaipur,Pod,1594,11,0.69%
2025-10-01,40,Kolkata,WH,7493,15,0.20%
2025-10-01,40,Amritsar,Pod,147,1,0.68%
2025-10-01,40,Ahmedabad,WH,3872,2,0.05%
2025-10-01,40,Khammam,WH,630,3,0.48%
2025-10-01,40,Bhopal,Pod,580,3,0.52%
2025-10-01,40,Noida,CX,2078,3,0.14%
2025-10-01,40,Aurangabad,Pod,243,1,0.41%
2025-10-01,40,Siliguri,Pod,276,1,0.36%
2025-10-01,40,Vellore,WH,515,2,0.39%
2025-10-01,40,Vapi,Pod,282,1,0.35%
2025-10-01,40,Alappuzha,Pod,381,1,0.26%
2025-10-01,40,Tirupur,WH,430,1,0.23%
2025-10-01,40,Varanasi,Pod,486,1,0.21%
2025-10-01,40,Jabalpur,WH,115,1,0.87%
2025-10-01,40,Karaikkudi,Sourcing,148,1,0.68%
2025-10-01,40,Nagpur,WH,770,5,0.65%
2025-10-01,40,Chennai,Sourcing,27050,50,0.18%
2025-10-01,40,Ranchi,Pod,351,2,0.57%
2025-10-01,40,Kota,CX,225,1,0.44%
2025-10-01,40,Allahabad,Pod,150,1,0.67%
2025-10-01,40,Kurnool,CX,521,1,0.19%
2025-10-01,40,Thanjavur,Pod,456,1,0.22%
2025-10-01,40,Kolkata,CX,7493,8,0.11%
2025-10-01,40,Central Goa,Pod,3902,29,0.74%
2025-10-01,40,Gorakhpur,WH,170,1,0.59%
2025-10-01,40,Patna,CX,1027,3,0.29%
2025-10-01,40,Delhi,WH,11881,30,0.25%
2025-10-01,40,Kolkata,Pod,7493,54,0.72%
2025-10-01,40,Indore,Sourcing,1503,4,0.27%
2025-10-01,40,Dehradun,CX,713,1,0.14%
2025-10-01,40,Siliguri,WH,276,1,0.36%
2025-10-01,40,Nellore,Pod,674,4,0.59%
2025-10-01,40,Noida,Sourcing,2078,7,0.34%
2025-10-01,40,Patiala,WH,170,1,0.59%
2025-10-01,40,Vijayawada,Sourcing,1877,9,0.48%
2025-10-01,40,Nagpur,Pod,770,5,0.65%
2025-10-01,40,Vizag,WH,2632,5,0.19%
2025-10-01,40,Lucknow,CX,1494,6,0.40%
2025-10-01,40,Mumbai,CX,39599,209,0.53%
2025-10-01,40,Vijayawada,Pod,1877,14,0.75%
2025-10-01,40,Surat,Sourcing,1071,3,0.28%
2025-10-01,40,Guwahati,Pod,674,5,0.74%
2025-10-01,40,Karimnagar,Pod,419,1,0.24%
2025-10-01,40,Chennai,Pod,27050,193,0.71%
2025-10-01,40,Vadodara,Sourcing,1093,4,0.37%
2025-10-01,40,Rajkot,CX,343,1,0.29%
2025-10-01,40,Pondicherry,Sourcing,1191,1,0.08%
2025-10-01,40,Kota,Sourcing,225,1,0.44%
2025-10-01,40,Vizag,CX,2632,8,0.30%
2025-10-01,40,Pune,WH,16311,74,0.45%
2025-10-01,40,Noida 1,CX,5171,21,0.41%
2025-10-01,40,Aligarh,CX,346,2,0.58%
2025-10-01,40,Ujjain,CX,115,1,0.87%
2025-10-01,40,Ranchi,CX,351,1,0.28%
2025-10-01,40,Ludhiana,CX,305,3,0.98%
2025-10-01,40,Salem,Pod,785,5,0.64%
2025-10-01,40,Kurnool,Sourcing,521,2,0.38%
2025-10-01,40,Chandigarh,Sourcing,3258,13,0.40%
2025-10-01,40,Bangalore,Sourcing,68452,117,0.17%
2025-10-01,40,Chandigarh,Pod,3258,34,1.04%
2025-10-01,40,Gurgaon,WH,8206,16,0.20%
2025-10-01,40,Ahmednagar,WH,53,1,1.89%
2025-10-01,40,Kanchipuram,Sourcing,282,1,0.35%
2025-10-01,40,Jamshedpur,CX,260,1,0.38%
2025-10-01,40,Patna,Sourcing,1027,4,0.39%
2025-10-01,40,Sri Ganganagar,Pod,114,2,1.75%
2025-10-01,40,Karaikkudi,Pod,148,2,1.35%
2025-10-01,40,Gorakhpur,CX,170,1,0.59%
2025-10-01,40,Kottayam,WH,456,1,0.22%
2025-10-01,40,Patiala,Pod,170,2,1.18%
2025-10-01,40,Kota,Pod,225,2,0.89%
2025-10-01,40,Warangal,WH,983,2,0.20%
2025-10-01,40,Nashik,Pod,716,3,0.42%
2025-10-01,40,Thrissur,WH,2222,1,0.05%
2025-10-01,40,Central Goa,Sourcing,3902,12,0.31%
2025-10-01,40,Chandigarh,CX,3258,15,0.46%
2025-10-01,40,Vizag,Pod,2632,13,0.49%
2025-10-01,40,Bhubaneswar,Sourcing,2916,1,0.03%
2025-10-01,40,Thrissur,Sourcing,2222,3,0.14%
2025-10-01,40,Aligarh,Pod,346,6,1.73%
2025-10-01,40,Thanjavur,WH,456,1,0.22%
2025-10-01,40,Surat,WH,1071,1,0.09%
2025-10-01,40,Manipal,Sourcing,737,1,0.14%
