WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
9,Ajmer,Pod,244,2,0.82%
9,Karaikkudi,Pod,340,3,0.88%
9,Shivamogga,CX,582,3,0.52%
9,Cuttack,Pod,466,2,0.43%
9,Sri Ganganagar,CX,473,1,0.21%
9,Varanasi,DP,910,1,0.11%
9,Ahmedabad,Pod,6909,68,0.98%
9,Hyderabad,CX,56962,181,0.32%
9,Mysore,Pod,3476,11,0.32%
9,Kolkata,CX,17654,23,0.13%
9,Pune,Sourcing,27453,22,0.08%
9,Vizag,CX,3011,7,0.23%
9,Vellore,CX,1112,1,0.09%
9,Faridabad,WH,2610,1,0.04%
9,Anantapur,Sourcing,597,1,0.17%
9,Karaikkudi,CX,340,1,0.29%
9,Hubli,Sourcing,512,2,0.39%
9,Dehradun,WH,2013,1,0.05%
9,Gurgaon,CX,14302,34,0.24%
9,Bhopal,Sourcing,1253,1,0.08%
9,Kollam,Sourcing,1487,1,0.07%
9,Bhubaneswar,WH,4266,1,0.02%
9,Lucknow,CX,3248,1,0.03%
9,Vapi,DP,611,1,0.16%
9,Kozhikode,DP,2229,2,0.09%
9,Central Goa,DP,5277,2,0.04%
9,Karaikkudi,WH,340,4,1.18%
9,Indore,DP,2008,2,0.10%
9,Gwalior,Pod,684,4,0.58%
9,Patna,DP,2851,1,0.04%
9,Kota,DP,982,1,0.10%
9,Ajmer,CX,244,1,0.41%
9,Mumbai,DP,59923,79,0.13%
9,Surat,CX,1579,7,0.44%
9,Rohtak,CX,430,3,0.70%
9,Siliguri,Pod,339,3,0.89%
9,Bareilly,Pod,391,4,1.02%
9,Rajahmundry,Sourcing,559,1,0.18%
9,Kanchipuram,Pod,595,1,0.17%
9,Erode,Pod,553,1,0.18%
9,Nizamabad,Pod,80,2,2.50%
9,Thoothukudi,Sourcing,771,1,0.13%
9,Thiruvalla,Pod,688,2,0.29%
9,Rajkot,DP,545,1,0.18%
9,Faridabad,Sourcing,2610,9,0.34%
9,Central Goa,Pod,5277,27,0.51%
9,Kolkata,WH,17654,6,0.03%
9,Bhopal,DP,1253,4,0.32%
9,Tirunelveli,Pod,885,2,0.23%
9,Salem,DP,1282,2,0.16%
9,Belgaum,Sourcing,644,1,0.16%
9,Khammam,Sourcing,849,1,0.12%
9,Jamshedpur,Sourcing,775,2,0.26%
9,Noida,Sourcing,3496,12,0.34%
9,Mysore,CX,3476,8,0.23%
9,Nellore,Pod,731,4,0.55%
9,Jabalpur,DP,522,1,0.19%
9,Hyderabad,Pod,56962,478,0.84%
9,Panipat,Pod,673,8,1.19%
9,Thiruvananthapuram,Pod,7074,36,0.51%
9,Madurai,Pod,1397,11,0.79%
9,Thiruvananthapuram,CX,7074,7,0.10%
9,Indore,Sourcing,2008,6,0.30%
9,Coimbatore,CX,5012,9,0.18%
9,Palakkad,Sourcing,526,1,0.19%
9,Latur,Sourcing,146,1,0.68%
9,Rajkot,Sourcing,545,1,0.18%
9,Jaipur,WH,3789,6,0.16%
9,Coimbatore,Pod,5012,29,0.58%
9,Vadodara,Sourcing,1429,5,0.35%
9,Kanpur,DP,834,1,0.12%
9,Agra,CX,403,1,0.25%
9,Mumbai,WH,59923,36,0.06%
9,Delhi,Sourcing,27539,104,0.38%
