week num ,34,,,,,,,,,,,,,,,,35,,,,,,,,,,,
Spoc Level,,,,,,,,,,,,,,,,,,,,,SKU_Code,SKUName,Shelf Life,,,,,
,,,,,,,,,,,Chennai Fnv2,JUPITER KART CC UDUMALPET,PJTJ CC SANOLI KHURD,Delhi,Ankur Jain,,,,,,592451,#N/A,21,,8176,Eggoz White Farm Fresh Eggs,A,21
,,,,,,,,,,,BLR FNV1 SG,CLOUDSTORE CC TEMBURNI,PJTJ CC PARAGPURA,Delhi,Ankur Jain,,,,,,141942,Mr. Yolk Marketing Private Limited Oregganic White Pack,21,,8672,Licious Classic Eggs,A,21
,,,,,,,,,,,HYD FNV1 SG,CLOUDKART CC ANANTPUR,JUPITER KART CC PALACODE,Chennai,Venkatesan K,,,,,,6881,Farm Made Free Range Brown Eggs-Veg Fed & Non Fertile,21,,,,,
,,,,,,,,,,,NCR FnV,PJTJ CC SANOLI KHURD,MOKSH CC MANDYA,Bangalore,Rafuddin,,,,,,6975,Licious Classic Eggs,21,,,,,
,,,,,,,,,,,NCR FnV,PJTJ CC PARAGPURA,CLOUDKART CC MULUGU,Hyderabad,P Sivaramakrishna,,,,,,56620,Dr.Hen Table white egg 30 pcs,21,,,,,
,,,,,,,,,,,BLR FNV1 SG,JUPITER KART CC PALACODE,MOKSH CC MALUR,Bangalore,Rafuddin,,,,,,4001,Hen Fruit Farm White Eggs,21,,,,,
,,,,,,,,,,,BLR FNV1 SG,JUPITER KART CC POLLACHI,JUPITER KART CC SATYAMANGALAM,Chennai,Venkatesan K,,,,,,93531,#N/A,21,,,,,
,,,,,,,,,,,MUM FnV2,CLOUDSTORE CC GIRNARE,MOKSH CC BELGAUM,Bangalore,Rafuddin,,,,,,7420,Yojana Poultry Power Eggs (White),21,,,,,
,,,,,,,,,,,BLR FNV1 SG,MOKSH CC CHIKKBALLAPUR,PJTJ CC SOLAN,Delhi,Ankur Jain,,,,,,8175,Eggoz White Herbal Feed Eggs,21,,,,,
,,,,,,,,,,,NCR FnV,MOKSH CC MANDYA,JUPITER KART CC VILLUPURAM,Chennai,Venkatesan K,,,,,,558087,Yolkers Classic Eggs,21,,,,,
,,,,,,,,,,,HYD FNV1 SG,CLOUDSTORE CC TEMBURNI,MOKSH CC HALEBEEDU,Bangalore,Rafuddin,,,,,,8176,Eggoz White Farm Fresh Eggs,21,,,,,
,,,,,,,,,,,HYD FNV1 SG,CLOUDKART CC MULUGU,JUPITER KART CC THALAVADY,Chennai,Venkatesan K,,,,,,8672,Licious Classic Eggs,21,,,,,
,,,,,,,,,,,BLR FNV1 SG,MOKSH CC MALUR,MOKSH CC MANCHENAHALLI,Bangalore,Rafuddin,,,,,,,,,,,,,
,,,,,,,,,,,Chennai Fnv2,JUPITER KART CC PALACODE,CLOUDSTORE CC BARAD,Mumbai,Rakesh B H,,,,,,,,,,,,,
,,,,,,,,,,,Chennai Fnv2,JUPITER KART CC SATYAMANGALAM,CLOUDSTORE CC LASALGAON ONION PACKHOUSE,Mumbai,Rakesh B H,,,,,,,,,,,,,
,,,,,,,,,,,Chennai Fnv2,CLOUDKART CC ANANTPUR,MOKSH CC PERESANDRA,Bangalore,Rafuddin,,,,,,,,,,,,,
,,,,,,,,,,,HYD FNV1 SG,MOKSH CC BELGAUM,Manchar CC FnV,Pune,Rakesh B H,,,,,,,,,,,,,
,,,,,,,,,,,NCR FnV,PJTJ CC SOLAN,CLOUDKART CC VIKARABAD,Hyderabad,P Sivaramakrishna,,,,,,,,,,,,,
,,,,,,,,,,,BLR FNV1 SG,MOKSH CC MANDYA,CLOUDSTORE CC KUNJIRWADI,Mumbai,Rakesh B H,,,,,,,,,,,,,
,,,,,,,,,,,BLR FNV1 SG,JUPITER KART CC SATYAMANGALAM,,,0,,,,,,,,,,,,,
,,,,,,,,,,,BLR FNV1 SG,JUPITER KART CC VILLUPURAM,,,0,,,,,,,,,,,,,
,,,,,,,,,,,BLR FNV1 SG,MOKSH CC HALEBEEDU,,,0,,,,,,,,,,,,,
,,,,,,,,,,,BLR FNV1 SG,JUPITER KART CC THALAVADY,,,0,,,,,,,,,,,,,
,,,,,,,,,,,BLR FNV1 SG,MOKSH CC MANCHENAHALLI,,,0,,,,,,,,,,,,,
,,,,,,,,,,,PUNE FnV,CLOUDSTORE CC BARAD,,,0,,,,,,,,,,,,,
,,,,,,,,,,,PUNE FnV,CLOUDSTORE CC TEMBURNI,,,0,,,,,,,,,,,,,
,,,,,,,,,,,Chennai Fnv2,JUPITER KART CC DENKANIKOTTAI,,,0,,,,,,,,,,,,,
,,,,,,,,,,,Chennai Fnv2,CLOUDSTORE CC LASALGAON ONION PACKHOUSE,,,0,,,,,,,,,,,,,
,,,,,,,,,,,MUM FnV2,CLOUDSTORE CC LASALGAON ONION PACKHOUSE,,,0,,,,,,,,,,,,,
,,,,,,,,,,,HYD FNV1 SG,MOKSH CC MANCHENAHALLI,,,0,,,,,,,,,,,,,
,,,,,,,,,,,BLR FNV1 SG,MOKSH CC PERESANDRA,,,0,,,,,,,,,,,,,
,,,,,,,,,,,MUM FnV2,Manchar CC FnV,,,0,,,,,,,,,,,,,
,,,,,,,,,,,HYD FNV1 SG,CLOUDKART CC VIKARABAD,,,0,,,,,,,,,,,,,
,,,,,,,,,,,MUM FnV2,CLOUDSTORE CC TEMBURNI,,,0,,,,,,,,,,,,,
,,,,,,,,,,,MUM FnV2,CLOUDSTORE CC KUNJIRWADI,,,0,,,,,,,,,,,,,
,,,,,,,,,,,Chennai Fnv2,JUPITER KART CC THALAVADY,,,0,,,,,,,,,,,,,
