Sun Aug 30 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Sun Aug 30 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 29 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 28 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 27 2026 00:00:00 GMT+0530 (India Standard Time),Wed Aug 26 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 25 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 24 2026 00:00:00 GMT+0530 (India Standard Time),Tier
Bangalore,Pod,0.004441460517481795,0.0026240279896318896,0.0026176255689397444,0.002100500888673453,0.0015198721385435527,0.00202137675139835,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,Sourcing,0.0005526003201983164,0.0005413391076171479,0.000583184185653669,0.0004768277519020422,0.0005690037124331104,0.0006152392423990696,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,WH,0.0004183236068790993,0.0010773448250114667,0.0010507370241518692,0.0009483866888659403,0.0008952325075614271,0.001090297391593288,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,CX,0.00463951270884923,0.0036657078125397753,0.003652208956727621,0.0032008680320086804,0.0026912058338397432,0.0035168155886107274,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,Pod,0.005265704608203114,0.003882086398696637,0.004621933403858748,0.0028663140286631405,0.0026815599347937225,0.003195526263231476,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,Sourcing,0.0006404235334301085,0.0005409464653921543,0.0007052541433680922,0.0008544690085446901,0.0008391932170037908,0.0007619767108656576,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,WH,0.000697350069735007,0.0005091260850749688,0.00036522089567276206,0.00092228400922284,0.0010706947941082848,0.000716388360642926,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,CX,0.0031551665852834017,0.0018813634351482957,0.0030630803101368816,0.0025742498174972143,0.00260876882942018,0.003127299484915379,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,Pod,0.003643466175862976,0.002201072254193104,0.0030311732235729556,0.0030481166993250597,0.002805127773570086,0.003433897473632573,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,Sourcing,0.0016401858042544668,0.0009591264571344253,0.0012337406804717994,0.0011270347459689297,0.0007433588599960728,0.001177336276674025,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,WH,0.0006761071254178717,0.0007931238010919285,0.0005105133850228135,0.0006723786836746456,0.0007994614154674746,0.0008462104488594555,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,CX,0.0033738753748750417,0.003946708532304137,0.0032211954661673812,0.0036236629556865314,0.0023483198838649077,0.003936101166174654,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,Pod,0.003089248028434966,0.0025511872833126185,0.0035433150127841197,0.0026122389580149896,0.0021206040163386135,0.0034022151037413897,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
