Sat Jul 18 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Sat Jul 18 2026 00:00:00 GMT+0530 (India Standard Time),Fri Jul 17 2026 00:00:00 GMT+0530 (India Standard Time),Thu Jul 16 2026 00:00:00 GMT+0530 (India Standard Time),Wed Jul 15 2026 00:00:00 GMT+0530 (India Standard Time),Tue Jul 14 2026 00:00:00 GMT+0530 (India Standard Time),Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),Sun Jul 12 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Gurgaon,DP,Overripe,0.0002209456473707468,0.00016203516163007373,0.00023651844843897824,0.00015841584158415842,0.00016191709844559586,0.0005767963085036256,0.00042826552462526765,Tier-1
,,,,,,,,,,,,,,Gurgaon,DP,Raw,0.00036824274561791134,0.0007291582273353318,0.0010249132765689057,0.00300990099009901,0.00048575129533678756,0.0009063941990771259,0.00035688793718772306,Tier-1
,,,,,,,,,,,,,,Gurgaon,WH,Shrivelled / Dry,0.001399322433348063,0.001215263712225553,0.000630715862503942,0.00007920792079207921,0.0007286269430051813,0.0016479894528675016,0.00042826552462526765,Tier-1
,,,,,,,,,,,,,,Gurgaon,WH,Underweight (packing issue),0.0005891883929886581,0.00040508790407518434,0.000630715862503942,0.00023762376237623762,0.0003238341968911917,0.0006591957811470006,0.0005710206995003569,Tier-1
,,,,,,,,,,,,,,Noida 1,CX,Customer perception / Wrong claim,0.003313840155945419,0.002976190476190476,0.004199580041995801,0.003929075156155551,0.004342995657004343,0.003745318352059925,0.002355926060166727,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,External Damage/Bruises,0.008284600389863547,0.010030864197530864,0.0065993400659934,0.008865605480556116,0.01807898192101808,0.006313536650615302,0.007067778180500181,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,External Rotten/ Fungal,0.005458089668615985,0.006944444444444444,0.0044995500449955,0.006346967559943582,0.000201999798000202,0.010165864098448368,0.008517578832910475,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Internal Rotten,0.00253411306042885,0.002755731922398589,0.0018998100189981002,0.001611928269192021,0.001514998485001515,0.00149812734082397,0.0015404131931859369,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Taste / water content,0.0013645224171539962,0.001763668430335097,0.001999800019998,0.0017126737860165223,0.000504999495000505,0.0016051364365971107,0.002084088437839797,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Incorrect size (sourcing issue),0,0.00011022927689594356,0.00009999000099990002,0.00010074551682450131,0,0.00010700909577314071,0.0003624501631025734,Tier-1
,,,,,,,,,,,,,,Noida 1,DP,Overripe,0.0008771929824561404,0.0004409171075837742,0.00039996000399960006,0.0003022365504735039,0.000807999192000808,0.00021401819154628142,0.0003624501631025734,Tier-1
,,,,,,,,,,,,,,Noida 1,DP,Raw,0.0015594541910331384,0.001984126984126984,0.0022997700229977,0.002216401370139029,0.000403999596000404,0.0024612092027822365,0.0011779630300833635,Tier-1
,,,,,,,,,,,,,,Noida 1,WH,Shrivelled / Dry,0.0008771929824561404,0.00033068783068783067,0.0010998900109989002,0.00020149103364900262,0.001514998485001515,0.00042803638309256285,0.00027183762232693004,Tier-1
,,,,,,,,,,,,,,Noida 1,WH,Underweight (packing issue),0.001851851851851852,0.0012125220458553791,0.0010998900109989002,0.0011082006850695145,0.000403999596000404,0.00149812734082397,0.0011779630300833635,Tier-1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
