Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Mon Sep 14 2026 00:00:00 GMT+0530 (India Standard Time),Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),Sat Sep 12 2026 00:00:00 GMT+0530 (India Standard Time),Fri Sep 11 2026 00:00:00 GMT+0530 (India Standard Time),Thu Sep 10 2026 00:00:00 GMT+0530 (India Standard Time),Wed Sep 09 2026 00:00:00 GMT+0530 (India Standard Time),Tue Sep 08 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Pune,Sourcing,Internal Rotten,0,0.0008449117536612843,0.0022294632138569713,0.000893613018530712,0.0007497574314192467,0.0011115861479264644,0.0009743285605354571,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Taste / water content,0,0.0000938790837401427,0.0006002400960384153,0.0001410967923995861,0.00013231013495633765,0.0003420265070542967,0.0001270863339828857,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0.00004275331338178709,0.00008472422265525714,Tier-1
,,,,,,,,,,,,,,Pune,DP,Overripe,0,0.0005006884466140943,0.0007717372663351054,0.0004703226413319537,0.00017641351327511687,0.00021376656690893543,0.0003388968906210286,Tier-1
,,,,,,,,,,,,,,Pune,DP,Raw,0,0.0012830141444486168,0.001886468873263591,0.0007054839619979306,0.0004851371615065714,0.0005557930739632322,0.0008896043378802,Tier-1
,,,,,,,,,,,,,,Pune,WH,Shrivelled / Dry,0,0.005163349605707849,0.004716172183158978,0.0013639356598626657,0.0014995148628384933,0.0007695596408721676,0.0010166906718630856,Tier-1
,,,,,,,,,,,,,,Pune,WH,Underweight (packing issue),0,0.00012517211165352359,0.00042874292574172527,0.00037625811306556296,0.00017641351327511687,0.0002565198802907225,0.00046598322460391424,Tier-1
,,,,,,,,,,,,,,Gurgaon,CX,Customer perception / Wrong claim,0,0.003596772625644017,0.008439313133681065,0.0039261876717707105,0.0026562886088460588,0.002698327037236913,0.0030224525043177895,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,External Damage/Bruises,0,0.007193545251288034,0.012776182382933833,0.0072634471927758145,0.0064862861378799114,0.006955687473766265,0.007833703429558352,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,External Rotten/ Fungal,0,0.00014581510644502772,0.000351638047236711,0.00019630938358853554,0.00018532246108228317,0.00011992564609941837,0.0001850481125092524,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Internal Rotten,0,0.0013123359580052493,0.002813104377893688,0.0015704750687082843,0.0015443538423523598,0.0010193679918450561,0.001233654083395016,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Taste / water content,0,0.0008262856031884903,0.001054914141710133,0.0010469833791388562,0.0008030639980232271,0.000659591053546801,0.0008635578583765112,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0.00006177415369409439,0,0,Tier-1
,,,,,,,,,,,,,,Gurgaon,DP,Overripe,0,0.0003888402838534072,0.000586063412061185,0.00039261876717707107,0.00037064492216456633,0.00047970258439767346,0.0001850481125092524,Tier-1
,,,,,,,,,,,,,,Gurgaon,DP,Raw,0,0.0014581510644502771,0.003399167789954873,0.0012432927627273917,0.0008030639980232271,0.0002998141152485459,0.0004934616333580064,Tier-1
,,,,,,,,,,,,,,Gurgaon,WH,Shrivelled / Dry,0,0.0027218819869738505,0.001758190236183555,0.0004580552283732496,0.0009266123054114158,0.0010793308148947653,0.0009869232667160128,Tier-1
