Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 14 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Gurgaon,WH,Shrivelled / Dry,0.0012402673465169158,0.0015788195287830945,0.0017683465959328027,0.0011824698839701425,0.0008833922261484099,0.0006290626965820927,0.0008676500033371154,Tier-1
,,,,,,,,,,,,,,Gurgaon,WH,Underweight (packing issue),0.00048232619031213393,0.00042506679621083314,0.0002357795461243737,0.00022171310324440175,0.00036808009422850414,0.00020968756552736424,0.0003337115397450444,Tier-1
,,,,,,,,,,,,,,Noida 1,CX,Customer perception / Wrong claim,0.001511783014673188,0.0035458068772161295,0.0014346058818841157,0.0037634941071605426,0.00284821756707093,0.004030183501972218,0.0015087747161121258,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,External Damage/Bruises,0.005691418408181414,0.006184546878865342,0.003108312744082251,0.003169258195503615,0.004410143329658214,0.009775338706911336,0.004129278170412133,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,External Rotten/ Fungal,0.003201422854602045,0.004865176878040735,0.0052602215669084245,0.004060612062989006,0.004134509371554576,0,0.004049868974827285,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Internal Rotten,0.0018674966651845266,0.0012369093757730683,0.001673706862198135,0.0006932752302664158,0.0010106578463800074,0.0012862287772251759,0.0013499563249424282,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Taste / water content,0.0017785682525566918,0.00016492125010307578,0.0008767035944847374,0.0005942359116569278,0.0013781697905181918,0.0009432344366317955,0.0011117287381878821,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Incorrect size (sourcing issue),0.0006224988883948421,0.0002473818751546137,0.0002391009803140193,0.00009903931860948797,0.00018375597206909226,0,0.00015881839116969746,Tier-1
,,,,,,,,,,,,,,Noida 1,DP,Overripe,0.00026678523788350376,0.0005772243753607652,0.00031880130708535905,0.0004951965930474399,0.00018375597206909226,0.0006002400960384153,0.0002382275867545462,Tier-1
,,,,,,,,,,,,,,Noida 1,DP,Raw,0.0014228546020453535,0.0027212006267007503,0.0006376026141707181,0.0012875111419233436,0.0003675119441381845,0.00008574858514834505,0.0003176367823393949,Tier-1
,,,,,,,,,,,,,,Noida 1,WH,Shrivelled / Dry,0.0022232103156958646,0.0019790550012369094,0.0007970032677133976,0.0007923145488759037,0.0011944138184490996,0.0006859886811867604,0.0011117287381878821,Tier-1
