Unique ID,DATE,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
8/16/2026-Hyderabad-990,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Hyderabad,990,Green Amaranthus,4,,"Shrivelled / Dry (2.00), External Damage/Bruises (2.00)"
8/15/2026-Varanasi-1051,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Varanasi,1051,Coriander Leaves,1,,Shrivelled / Dry (1.00)
8/15/2026-Hyderabad-6331,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Hyderabad,6331,Fenugreek,5,,"External Damage/Bruises (3.00), Customer perception / Wrong claim (2.00)"
8/12/2026-Hyderabad-7460,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Hyderabad,7460,Malabar Spinach (Basale),2,,"External Damage/Bruises (1.00), Shrivelled / Dry (1.00)"
8/17/2026-Hyderabad-6331,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Hyderabad,6331,Fenugreek,4,,"Shrivelled / Dry (2.00), Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
8/17/2026-Tirupati-1121,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Tirupati,1121,Spinach,1,,External Damage/Bruises (1.00)
8/13/2026-Faridabad-3795,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Faridabad,3795,Ginger,1,,External Damage/Bruises (1.00)
8/12/2026-Bangalore-5913,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Bangalore,5913,Celery,1,,External Damage/Bruises (1.00)
8/15/2026-Lucknow-3795,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Lucknow,3795,Ginger,2,,"External Damage/Bruises (1.00), Shrivelled / Dry (1.00)"
8/12/2026-Central Goa-1292,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Central Goa,1292,Lettuce Iceberg,1,,External Damage/Bruises (1.00)
8/17/2026-Mumbai-300747,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Mumbai,300747,Pluckk Ginger,1,,External Damage/Bruises (1.00)
8/16/2026-Delhi-8544,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Delhi,8544,Thai Ginger,1,,External Damage/Bruises (1.00)
8/12/2026-Jaipur-1121,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Jaipur,1121,Spinach,3,,"Customer perception / Wrong claim (2.00), External Damage/Bruises (1.00)"
8/13/2026-Noida 1-1086,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Noida 1,1086,Lemon (Nimbu),1,,External Rotten/ Fungal (1.00)
8/17/2026-Bangalore-7385,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Bangalore,7385,Leeks,1,,Customer perception / Wrong claim (1.00)
8/16/2026-Kurnool-1051,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Kurnool,1051,Coriander Leaves,2,,"Shrivelled / Dry (1.00), Customer perception / Wrong claim (1.00)"
8/17/2026-Bhimavaram-1092,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Bhimavaram,1092,Mint Leaves,2,,"Shrivelled / Dry (1.00), Customer perception / Wrong claim (1.00)"
8/15/2026-Ahmedabad-1045,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Ahmedabad,1045,Pikador Green Chilli,1,,External Damage/Bruises (1.00)
8/15/2026-Faridabad-1041,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Faridabad,1041,Green Chilli,3,,"Customer perception / Wrong claim (2.00), External Damage/Bruises (1.00)"
8/17/2026-Mumbai-7463,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Mumbai,7463,Romaine Lettuce,1,,External Damage/Bruises (1.00)
8/12/2026-Bangalore-785496,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Bangalore,785496,nectr Mint Leaves,1,,Customer perception / Wrong claim (1.00)
8/13/2026-Bangalore-785496,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Bangalore,785496,nectr Mint Leaves,2,,"Shrivelled / Dry (1.00), External Rotten/ Fungal (1.00)"
