Unique ID,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
33-Bangalore-252106,33,Bangalore,252106,nectr Bottle Gourd,21,,"External Damage/Bruises (12.00), Customer perception / Wrong claim (7.00), Underweight (packing issue) (1.00), Shrivelled / Dry (1.00)"
33-Bathinda-1296,33,Bathinda,1296,Tender Coconut,1,,Customer perception / Wrong claim (1.00)
33-Bangalore-315766,33,Bangalore,315766,nectr Muskmleon,1,,External Damage/Bruises (1.00)
33-Gurgaon-913501,33,Gurgaon,913501,The Flora Single Sunflower Bouquet,2,,"External Damage/Bruises (1.00), Shrivelled / Dry (1.00)"
33-Chennai-918705,33,Chennai,918705,Pear Nashpati,1,,Customer perception / Wrong claim (1.00)
33-Rohtak-1108,33,Rohtak,1108,Potato,3,,"External Damage/Bruises (1.00), Internal Rotten (1.00), Customer perception / Wrong claim (1.00)"
33-Mumbai-236185,33,Mumbai,236185,Phulwaa Fresh Marigold Orange,1,,Shrivelled / Dry (1.00)
33-Gorakhpur-7457,33,Gorakhpur,7457,Guava (Amrood),2,,"Customer perception / Wrong claim (1.00), Raw (1.00)"
33-Bangalore-716369,33,Bangalore,716369,nectr Sambar Onion,2,,"External Rotten/ Fungal (1.00), External Damage/Bruises (1.00)"
33-Patna-5456,33,Patna,5456,Lettuce Green,1,,Incorrect size (sourcing issue) (1.00)
33-Rohtak-2116,33,Rohtak,2116,Onion,5,,"External Damage/Bruises (3.00), Customer perception / Wrong claim (2.00)"
33-Bilaspur-5733,33,Bilaspur,5733,Premium Thai Guava,2,,"External Damage/Bruises (1.00), External Rotten/ Fungal (1.00)"
33-Gurgaon-598792,33,Gurgaon,598792,Superplum Premium Chausa Mangoes,5,,"Internal Rotten (4.00), External Damage/Bruises (1.00)"
33-Bilaspur-2116,33,Bilaspur,2116,Onion,2,,"Internal Rotten (1.00), External Damage/Bruises (1.00)"
33-Rohtak-1103,33,Rohtak,1103,Pineapple,1,,External Damage/Bruises (1.00)
